# O*NET 22.0 Skills.txt Scale ID='IM' rows for the 99 O*NET-SOC 2010 codes needed to backfill 2019-taxonomy SOCs with no rows in O*NET 29.3 Skills.txt (crosswalk: https://www.onetcenter.org/taxonomy/2019/walk/2010_to_2019_Crosswalk.csv?fmt=csv). skill_breadth/onet_skills.py averages, per missing SOC, all of its crosswalk-mapped 2010 codes' Data Value per skill (joined to 29.3 skill names by Element ID) and inserts the result as that SOC's row before z-scoring. See reference/README.md.
O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
29-2071.00	2.B.3.k	Troubleshooting	IM	1.12	8	0.13	1.00	1.37	N	n/a	07/2013	Analyst
29-2071.00	2.B.3.l	Repairing	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
29-2071.00	2.B.3.m	Quality Control Analysis	IM	1.75	8	0.37	1.03	2.47	N	n/a	07/2013	Analyst
29-2071.00	2.B.4.e	Judgment and Decision Making	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
29-2071.00	2.B.4.g	Systems Analysis	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
29-2071.00	2.B.4.h	Systems Evaluation	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2013	Analyst
29-2071.00	2.B.5.a	Time Management	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
29-2071.00	2.B.5.b	Management of Financial Resources	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
29-2071.00	2.B.5.c	Management of Material Resources	IM	1.12	8	0.13	1.00	1.37	N	n/a	07/2013	Analyst
29-2071.00	2.B.5.d	Management of Personnel Resources	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2013	Analyst
39-1021.00	2.A.1.a	Reading Comprehension	IM	3.50	8	0.19	3.13	3.87	N	n/a	07/2015	Analyst
39-1021.00	2.A.1.b	Active Listening	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2015	Analyst
39-1021.00	2.A.1.c	Writing	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.A.1.d	Speaking	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2015	Analyst
39-1021.00	2.A.1.e	Mathematics	IM	2.12	8	0.13	1.88	2.37	N	n/a	07/2015	Analyst
39-1021.00	2.A.1.f	Science	IM	1.50	8	0.19	1.13	1.87	N	n/a	07/2015	Analyst
39-1021.00	2.A.2.a	Critical Thinking	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2015	Analyst
39-1021.00	2.A.2.b	Active Learning	IM	3.00	8	0.19	2.63	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.A.2.c	Learning Strategies	IM	3.00	8	0.19	2.63	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.A.2.d	Monitoring	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.a	Social Perceptiveness	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.b	Coordination	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.c	Persuasion	IM	3.50	8	0.19	3.13	3.87	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.d	Negotiation	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.e	Instructing	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2015	Analyst
39-1021.00	2.B.1.f	Service Orientation	IM	3.50	8	0.19	3.13	3.87	N	n/a	07/2015	Analyst
39-1021.00	2.B.2.i	Complex Problem Solving	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.a	Operations Analysis	IM	1.75	8	0.16	1.43	2.07	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.b	Technology Design	IM	1.62	8	0.18	1.27	1.98	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.c	Equipment Selection	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.d	Installation	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.e	Programming	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.g	Operation Monitoring	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.h	Operation and Control	IM	1.50	8	0.19	1.13	1.87	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.j	Equipment Maintenance	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.k	Troubleshooting	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.l	Repairing	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2015	Analyst
39-1021.00	2.B.3.m	Quality Control Analysis	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2015	Analyst
39-1021.00	2.B.4.e	Judgment and Decision Making	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2015	Analyst
39-1021.00	2.B.4.g	Systems Analysis	IM	3.00	8	0.19	2.63	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.B.4.h	Systems Evaluation	IM	3.00	8	0.19	2.63	3.37	N	n/a	07/2015	Analyst
39-1021.00	2.B.5.a	Time Management	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2015	Analyst
39-1021.00	2.B.5.b	Management of Financial Resources	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2015	Analyst
39-1021.00	2.B.5.c	Management of Material Resources	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2015	Analyst
39-1021.00	2.B.5.d	Management of Personnel Resources	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2015	Analyst
47-5042.00	2.A.1.a	Reading Comprehension	IM	2.25	8	0.16	1.93	2.57	N	n/a	06/2010	Analyst
47-5042.00	2.A.1.b	Active Listening	IM	3.38	8	0.18	3.02	3.73	N	n/a	06/2010	Analyst
47-5042.00	2.A.1.c	Writing	IM	2.12	8	0.13	1.88	2.37	N	n/a	06/2010	Analyst
47-5042.00	2.A.1.d	Speaking	IM	3.12	8	0.13	2.88	3.37	N	n/a	06/2010	Analyst
47-5042.00	2.A.1.e	Mathematics	IM	2.25	8	0.16	1.93	2.57	N	n/a	06/2010	Analyst
47-5042.00	2.A.1.f	Science	IM	1.12	8	0.13	1.00	1.37	N	n/a	06/2010	Analyst
47-5042.00	2.A.2.a	Critical Thinking	IM	3.50	8	0.19	3.13	3.87	N	n/a	06/2010	Analyst
47-5042.00	2.A.2.b	Active Learning	IM	2.75	8	0.16	2.43	3.07	N	n/a	06/2010	Analyst
47-5042.00	2.A.2.c	Learning Strategies	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
47-5042.00	2.A.2.d	Monitoring	IM	3.25	8	0.16	2.93	3.57	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.a	Social Perceptiveness	IM	3.12	8	0.13	2.88	3.37	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.b	Coordination	IM	3.00	8	0.00	3.00	3.00	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.c	Persuasion	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.d	Negotiation	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.e	Instructing	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
47-5042.00	2.B.1.f	Service Orientation	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
47-5042.00	2.B.2.i	Complex Problem Solving	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.a	Operations Analysis	IM	1.38	8	0.18	1.02	1.73	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.b	Technology Design	IM	1.88	8	0.30	1.30	2.45	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.c	Equipment Selection	IM	2.88	8	0.23	2.43	3.32	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.d	Installation	IM	1.50	8	0.27	1.00	2.02	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.e	Programming	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.g	Operation Monitoring	IM	3.62	8	0.18	3.27	3.98	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.h	Operation and Control	IM	3.38	8	0.26	2.86	3.89	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.j	Equipment Maintenance	IM	3.00	8	0.27	2.48	3.52	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.k	Troubleshooting	IM	3.00	8	0.27	2.48	3.52	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.l	Repairing	IM	3.00	8	0.27	2.48	3.52	N	n/a	06/2010	Analyst
47-5042.00	2.B.3.m	Quality Control Analysis	IM	3.00	8	0.27	2.48	3.52	N	n/a	06/2010	Analyst
47-5042.00	2.B.4.e	Judgment and Decision Making	IM	3.00	8	0.00	3.00	3.00	N	n/a	06/2010	Analyst
47-5042.00	2.B.4.g	Systems Analysis	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
47-5042.00	2.B.4.h	Systems Evaluation	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
47-5042.00	2.B.5.a	Time Management	IM	3.00	8	0.00	3.00	3.00	N	n/a	06/2010	Analyst
47-5042.00	2.B.5.b	Management of Financial Resources	IM	1.62	8	0.18	1.27	1.98	N	n/a	06/2010	Analyst
47-5042.00	2.B.5.c	Management of Material Resources	IM	1.88	8	0.13	1.63	2.12	N	n/a	06/2010	Analyst
47-5042.00	2.B.5.d	Management of Personnel Resources	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
53-1031.00	2.A.1.a	Reading Comprehension	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2013	Analyst
53-1031.00	2.A.1.b	Active Listening	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2013	Analyst
53-1031.00	2.A.1.c	Writing	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2013	Analyst
53-1031.00	2.A.1.d	Speaking	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2013	Analyst
53-1031.00	2.A.1.e	Mathematics	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
53-1031.00	2.A.1.f	Science	IM	1.25	8	0.16	1.00	1.57	N	n/a	07/2013	Analyst
53-1031.00	2.A.2.a	Critical Thinking	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2013	Analyst
53-1031.00	2.A.2.b	Active Learning	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2013	Analyst
53-1031.00	2.A.2.c	Learning Strategies	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-1031.00	2.A.2.d	Monitoring	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.a	Social Perceptiveness	IM	3.75	8	0.16	3.43	4.07	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.b	Coordination	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.c	Persuasion	IM	3.12	8	0.23	2.68	3.57	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.d	Negotiation	IM	3.38	8	0.26	2.86	3.89	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.e	Instructing	IM	3.00	8	0.19	2.63	3.37	N	n/a	07/2013	Analyst
53-1031.00	2.B.1.f	Service Orientation	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.2.i	Complex Problem Solving	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.a	Operations Analysis	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.b	Technology Design	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.c	Equipment Selection	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.d	Installation	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.e	Programming	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.g	Operation Monitoring	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.h	Operation and Control	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.j	Equipment Maintenance	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.k	Troubleshooting	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.l	Repairing	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.3.m	Quality Control Analysis	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2013	Analyst
53-1031.00	2.B.4.e	Judgment and Decision Making	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2013	Analyst
53-1031.00	2.B.4.g	Systems Analysis	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
53-1031.00	2.B.4.h	Systems Evaluation	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2013	Analyst
53-1031.00	2.B.5.a	Time Management	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2013	Analyst
53-1031.00	2.B.5.b	Management of Financial Resources	IM	2.12	8	0.13	1.88	2.37	N	n/a	07/2013	Analyst
53-1031.00	2.B.5.c	Management of Material Resources	IM	2.62	8	0.18	2.27	2.98	N	n/a	07/2013	Analyst
53-1031.00	2.B.5.d	Management of Personnel Resources	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2013	Analyst
53-3022.00	2.A.1.a	Reading Comprehension	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2011	Analyst
53-3022.00	2.A.1.b	Active Listening	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2011	Analyst
53-3022.00	2.A.1.c	Writing	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2011	Analyst
53-3022.00	2.A.1.d	Speaking	IM	3.12	8	0.12	2.88	3.37	N	n/a	07/2011	Analyst
53-3022.00	2.A.1.e	Mathematics	IM	2.12	8	0.13	1.88	2.37	N	n/a	07/2011	Analyst
53-3022.00	2.A.1.f	Science	IM	1.12	8	0.12	1.00	1.37	N	n/a	07/2011	Analyst
53-3022.00	2.A.2.a	Critical Thinking	IM	3.12	8	0.12	2.88	3.37	N	n/a	07/2011	Analyst
53-3022.00	2.A.2.b	Active Learning	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2011	Analyst
53-3022.00	2.A.2.c	Learning Strategies	IM	1.75	8	0.31	1.14	2.36	N	n/a	07/2011	Analyst
53-3022.00	2.A.2.d	Monitoring	IM	3.12	8	0.12	2.88	3.37	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.a	Social Perceptiveness	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.b	Coordination	IM	2.62	8	0.18	2.27	2.98	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.c	Persuasion	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.d	Negotiation	IM	2.62	8	0.18	2.27	2.98	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.e	Instructing	IM	1.62	8	0.26	1.11	2.14	N	n/a	07/2011	Analyst
53-3022.00	2.B.1.f	Service Orientation	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.2.i	Complex Problem Solving	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.a	Operations Analysis	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.b	Technology Design	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.c	Equipment Selection	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.d	Installation	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.e	Programming	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.g	Operation Monitoring	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.h	Operation and Control	IM	3.50	8	0.27	2.98	4.02	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.j	Equipment Maintenance	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.k	Troubleshooting	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.l	Repairing	IM	2.12	8	0.13	1.88	2.37	N	n/a	07/2011	Analyst
53-3022.00	2.B.3.m	Quality Control Analysis	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2011	Analyst
53-3022.00	2.B.4.e	Judgment and Decision Making	IM	3.12	8	0.12	2.88	3.37	N	n/a	07/2011	Analyst
53-3022.00	2.B.4.g	Systems Analysis	IM	1.50	8	0.19	1.13	1.87	N	n/a	07/2011	Analyst
53-3022.00	2.B.4.h	Systems Evaluation	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2011	Analyst
53-3022.00	2.B.5.a	Time Management	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2011	Analyst
53-3022.00	2.B.5.b	Management of Financial Resources	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2011	Analyst
53-3022.00	2.B.5.c	Management of Material Resources	IM	1.38	8	0.26	1.00	1.89	N	n/a	07/2011	Analyst
53-3022.00	2.B.5.d	Management of Personnel Resources	IM	1.38	8	0.18	1.02	1.73	N	n/a	07/2011	Analyst
53-3041.00	2.A.1.a	Reading Comprehension	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
53-3041.00	2.A.1.b	Active Listening	IM	3.50	8	0.19	3.13	3.87	N	n/a	06/2010	Analyst
53-3041.00	2.A.1.c	Writing	IM	2.75	8	0.16	2.43	3.07	N	n/a	06/2010	Analyst
53-3041.00	2.A.1.d	Speaking	IM	3.12	8	0.23	2.68	3.57	N	n/a	06/2010	Analyst
53-3041.00	2.A.1.e	Mathematics	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
53-3041.00	2.A.1.f	Science	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
53-3041.00	2.A.2.a	Critical Thinking	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
53-3041.00	2.A.2.b	Active Learning	IM	2.75	8	0.16	2.43	3.07	N	n/a	06/2010	Analyst
53-3041.00	2.A.2.c	Learning Strategies	IM	2.38	8	0.18	2.02	2.73	N	n/a	06/2010	Analyst
53-3041.00	2.A.2.d	Monitoring	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.a	Social Perceptiveness	IM	3.00	8	0.00	3.00	3.00	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.b	Coordination	IM	2.62	8	0.18	2.27	2.98	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.c	Persuasion	IM	2.50	8	0.27	1.98	3.02	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.d	Negotiation	IM	2.50	8	0.27	1.98	3.02	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.e	Instructing	IM	2.38	8	0.26	1.86	2.89	N	n/a	06/2010	Analyst
53-3041.00	2.B.1.f	Service Orientation	IM	3.25	8	0.16	2.93	3.57	N	n/a	06/2010	Analyst
53-3041.00	2.B.2.i	Complex Problem Solving	IM	2.50	8	0.19	2.13	2.87	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.a	Operations Analysis	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.b	Technology Design	IM	1.38	8	0.18	1.02	1.73	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.c	Equipment Selection	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.d	Installation	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.e	Programming	IM	1.00	8	0.00	1.00	1.00	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.g	Operation Monitoring	IM	2.88	8	0.13	2.63	3.12	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.h	Operation and Control	IM	3.12	8	0.23	2.68	3.57	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.j	Equipment Maintenance	IM	1.50	8	0.33	1.00	2.14	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.k	Troubleshooting	IM	2.00	8	0.27	1.48	2.52	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.l	Repairing	IM	1.62	8	0.26	1.11	2.14	N	n/a	06/2010	Analyst
53-3041.00	2.B.3.m	Quality Control Analysis	IM	2.00	8	0.27	1.48	2.52	N	n/a	06/2010	Analyst
53-3041.00	2.B.4.e	Judgment and Decision Making	IM	2.75	8	0.16	2.43	3.07	N	n/a	06/2010	Analyst
53-3041.00	2.B.4.g	Systems Analysis	IM	2.12	8	0.13	1.88	2.37	N	n/a	06/2010	Analyst
53-3041.00	2.B.4.h	Systems Evaluation	IM	2.25	8	0.16	1.93	2.57	N	n/a	06/2010	Analyst
53-3041.00	2.B.5.a	Time Management	IM	3.00	8	0.19	2.63	3.37	N	n/a	06/2010	Analyst
53-3041.00	2.B.5.b	Management of Financial Resources	IM	2.00	8	0.38	1.26	2.74	N	n/a	06/2010	Analyst
53-3041.00	2.B.5.c	Management of Material Resources	IM	1.88	8	0.23	1.43	2.32	N	n/a	06/2010	Analyst
53-3041.00	2.B.5.d	Management of Personnel Resources	IM	2.12	8	0.30	1.55	2.70	N	n/a	06/2010	Analyst
53-7032.00	2.A.1.a	Reading Comprehension	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.1.b	Active Listening	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.1.c	Writing	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
53-7032.00	2.A.1.d	Speaking	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.1.e	Mathematics	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2013	Analyst
53-7032.00	2.A.1.f	Science	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.2.a	Critical Thinking	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.2.b	Active Learning	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.A.2.c	Learning Strategies	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2013	Analyst
53-7032.00	2.A.2.d	Monitoring	IM	3.12	8	0.13	2.88	3.37	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.a	Social Perceptiveness	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.b	Coordination	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.c	Persuasion	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.d	Negotiation	IM	2.38	8	0.18	2.02	2.73	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.e	Instructing	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
53-7032.00	2.B.1.f	Service Orientation	IM	2.50	8	0.19	2.13	2.87	N	n/a	07/2013	Analyst
53-7032.00	2.B.2.i	Complex Problem Solving	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.a	Operations Analysis	IM	2.00	8	0.00	2.00	2.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.b	Technology Design	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.c	Equipment Selection	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.d	Installation	IM	1.50	8	0.19	1.13	1.87	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.e	Programming	IM	1.00	8	0.00	1.00	1.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.g	Operation Monitoring	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.h	Operation and Control	IM	4.12	8	0.13	3.88	4.37	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.j	Equipment Maintenance	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.k	Troubleshooting	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.l	Repairing	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.3.m	Quality Control Analysis	IM	2.75	8	0.16	2.43	3.07	N	n/a	07/2013	Analyst
53-7032.00	2.B.4.e	Judgment and Decision Making	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.4.g	Systems Analysis	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2013	Analyst
53-7032.00	2.B.4.h	Systems Evaluation	IM	2.25	8	0.16	1.93	2.57	N	n/a	07/2013	Analyst
53-7032.00	2.B.5.a	Time Management	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2013	Analyst
53-7032.00	2.B.5.b	Management of Financial Resources	IM	1.75	8	0.16	1.43	2.07	N	n/a	07/2013	Analyst
53-7032.00	2.B.5.c	Management of Material Resources	IM	1.88	8	0.13	1.63	2.12	N	n/a	07/2013	Analyst
53-7032.00	2.B.5.d	Management of Personnel Resources	IM	2.88	8	0.13	2.63	3.12	N	n/a	07/2013	Analyst
